submercado,nombre,actividad,estado,inicio_operacion
ENLC,EMPRESA DE ENERGIA ELECTRICA DEL ARAUCA,COMERCIALIZACIÓN,INACTIVO,1995-07-20
ENLD,EMPRESA DE ENERGIA ELECTRICA DEL ARAUCA,DISTRIBUCIÓN,INACTIVO,1995-07-20
CHOC,ELECTRIFICADORA DEL CHOCO S.A.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
CHOD,ELECTRIFICADORA DEL CHOCO S.A.  (LIQUIDACIÓN),DISTRIBUCIÓN,INACTIVO,1995-07-20
MGDC,ELECTRIFICADORA DEL MAGDALENA S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
CHBT,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,TRANSPORTE,INACTIVO,1995-07-20
EMGG,EMGESA S.A. E.S.P.  (FINALIZADO),GENERACIÓN,INACTIVO,1995-07-20
EADG,EMPRESA ANTIOQUEÑA DE ENERGIA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
EADD,EMPRESA ANTIOQUEÑA DE ENERGIA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
GJRC,ELECTRIFICADORA DE LA GUAJIRA S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
GJRD,ELECTRIFICADORA DE LA GUAJIRA S.A. E.S.P.  (LIQUIDACIÓN),DISTRIBUCIÓN,INACTIVO,1995-07-20
SCRC,ELECTRIFICADORA DE SUCRE S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
SCRD,ELECTRIFICADORA DE SUCRE S.A. E.S.P.  (LIQUIDACIÓN),DISTRIBUCIÓN,INACTIVO,1995-07-20
ATLC,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
ATLD,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
ATLG,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CSRC,ELECTRIFICADORA DEL CESAR S.A. ELECTROCESAR E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
TRCG,TERMOCARTAGENA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
TRDG,TERMOELECTRICA DE LA DORADA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
PRLC,PROELECTRICA & CIA. S.C.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
PRLG,PROELECTRICA & CIA. S.C.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
CDLC,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CDLD,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
CDLG,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
TLMD,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
TLMG,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.,GENERACIÓN,INACTIVO,1995-07-20
MGGC,EMPRESA DE ENERGIA ELECTRICA DE MAGANGUE S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
EMCC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,COMERCIALIZACIÓN,INACTIVO,1995-07-20
CRLD,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
EADC,EMPRESA ANTIOQUEÑA DE ENERGIA S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,1995-07-20
MGDD,ELECTRIFICADORA DEL MAGDALENA S.A. E.S.P.R(LIQUIDACIÓN),DISTRIBUCIÓN,INACTIVO,1995-07-20
CSRD,ELECTRIFICADORA DEL CESAR S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,1995-07-20
EPMT,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,TRANSPORTE,OPERACION,1995-01-01
ICLG,INSTITUTO COLOMBIANO DE ENERGIA ELECTRICA,GENERACIÓN,INACTIVO,1995-01-01
